Date,IA confirmed,ID confirmed,IA deaths,ID deaths
2020-07-11,34528,10505,748,102
2020-07-12,35006,10505,749,102
2020-07-13,35502,10902,753,102
2020-07-14,35830,11718,756,103
2020-07-15,36036,12445,759,110
2020-07-16,36866,13133,777,114
2020-07-17,37668,13752,782,114
2020-07-18,37904,14302,787,119
2020-07-19,38637,14302,792,119
2020-07-20,38917,15266,793,122
2020-07-21,39420,15822,799,126
2020-07-22,39793,16322,808,135
2020-07-23,40509,16736,815,138
2020-07-24,41000,17261,820,144
2020-07-25,41631,17827,826,146
2020-07-26,42016,18174,826,146
2020-07-27,42485,18694,829,152
2020-07-28,42738,19222,838,160
2020-07-29,43195,19679,844,173
2020-07-30,43844,20246,854,177
2020-07-31,44475,20721,865,189
2020-08-01,44936,21115,872,196
2020-08-02,45481,21115,874,196
2020-08-03,45802,21673,879,200
2020-08-04,45981,22234,885,210
2020-08-05,46501,22707,893,217
2020-08-06,47137,23395,906,223
2020-08-07,47728,23922,912,229
2020-08-08,48112,24491,925,235
2020-08-09,48732,24671,930,237
2020-08-10,49000,25100,931,239
2020-08-11,49208,25598,937,246
2020-08-12,49702,26133,949,246
2020-08-13,50167,26628,954,251
2020-08-14,50808,27173,964,265
2020-08-15,51640,27477,973,269
2020-08-16,52306,27477,975,269
2020-08-17,52617,27942,979,273
2020-08-18,52930,28326,987,282
2020-08-19,53538,28696,1003,291
2020-08-20,53831,28696,1012,291
2020-08-21,54709,29366,1017,304
2020-08-22,55496,29659,1030,306
2020-08-23,56157,29659,1035,306
2020-08-24,56585,30062,1040,314
2020-08-25,57156,30471,1049,326
2020-08-26,58019,30780,1062,337
2020-08-27,59496,31122,1080,343
2020-08-28,62031,31384,1091,353
2020-08-29,63112,31677,1108,358
2020-08-30,64102,31677,1110,358
2020-08-31,64713,32088,1112,361
2020-09-01,65397,32368,1121,368
2020-09-02,66137,32664,1125,372
2020-09-03,66799,32927,1134,372
2020-09-04,67982,33196,1137,382
2020-09-05,69006,33477,1160,384
2020-09-06,69756,33477,1165,384
