Date,UT confirmed,VA confirmed,UT deaths,VA deaths
2020-07-30,39711,88904,300,2141
2020-07-31,40232,89888,304,2174
2020-08-01,40725,90801,310,2215
2020-08-02,41190,91782,311,2218
2020-08-03,41538,93106,314,2218
2020-08-04,41983,94251,321,2244
2020-08-05,42352,95049,328,2274
2020-08-06,42927,95867,330,2299
2020-08-07,43464,97882,335,2317
2020-08-08,43759,99189,335,2322
2020-08-09,44143,100086,336,2326
2020-08-10,44422,100749,345,2327
2020-08-11,44766,101745,349,2344
2020-08-12,45110,102521,351,2352
2020-08-13,45451,103622,353,2363
2020-08-14,46026,104838,360,2370
2020-08-15,46362,105750,363,2381
2020-08-16,46680,106687,363,2381
2020-08-17,46943,107421,365,2385
2020-08-18,47207,108282,369,2396
2020-08-19,47521,109019,378,2410
2020-08-20,48026,109882,378,2427
2020-08-21,48523,110860,378,2436
2020-08-22,48890,112072,386,2443
2020-08-23,49163,112966,386,2467
2020-08-24,49409,113630,390,2471
2020-08-25,49778,114635,397,2494
2020-08-26,50197,115458,400,2515
2020-08-27,50574,116579,403,2527
2020-08-28,50971,117592,407,2550
2020-08-29,51423,118809,407,2568
2020-08-30,51868,119747,407,2569
2020-08-31,52119,120594,407,2580
2020-09-01,52414,121615,409,2612
2020-09-02,52851,122542,409,2641
2020-09-03,53340,123668,414,2652
2020-09-04,53839,124779,419,2662
2020-09-05,53903,125727,420,2677
2020-09-06,54660,126926,422,2678
2020-09-07,55077,127571,423,2684
2020-09-08,55408,128407,424,2686
2020-09-09,55689,129289,427,2697
2020-09-10,56049,130525,430,2708
2020-09-11,56657,131640,431,2711
2020-09-12,57300,132940,433,2722
2020-09-13,58666,133814,433,2724
2020-09-14,58451,134571,436,2743
2020-09-15,59015,135514,436,2839
2020-09-16,59772,136359,437,2884
2020-09-17,60673,137460,437,2920
2020-09-18,61774,138702,437,2949
2020-09-19,62844,139655,440,2990
2020-09-20,63793,140511,440,3015
2020-09-21,64399,141138,441,3021
2020-09-22,65062,142010,443,3060
2020-09-23,65955,142590,444,3089
2020-09-24,67176,143492,444,3113
2020-09-25,68539,144433,448,3136
2020-09-26,69554,145408,448,3144
2020-09-27,70606,146144,453,3159
2020-09-28,71458,146593,453,3172
2020-09-29,72164,147516,453,3187
2020-09-30,73080,148271,460,3208
2020-10-01,74087,148719,460,3225
2020-10-02,74266,149687,474,3250
2020-10-03,76267,150803,476,3270
2020-10-04,77578,151870,478,3273
2020-10-05,78751,152557,483,3276
2020-10-06,79472,153182,489,3291
2020-10-07,80531,153691,500,3303
2020-10-08,81989,155535,504,3328
2020-10-09,83320,156649,508,3344
2020-10-10,84696,157905,513,3354
2020-10-11,84722,158716,513,3358
2020-10-12,86907,159570,524,3361
2020-10-13,87812,160805,524,3372
2020-10-14,89019,161610,530,3381
2020-10-15,90491,162941,531,3388
2020-10-16,91994,164124,539,3408
2020-10-17,93365,165238,541,3422
2020-10-18,94438,166138,544,3433
2020-10-19,95595,166828,547,3457
2020-10-20,96668,167754,552,3485
2020-10-21,98042,168772,558,3515
2020-10-22,99598,170104,564,3524
2020-10-23,101607,171284,568,3539
2020-10-24,101607,172372,568,3578
2020-10-25,104877,173371,572,3579
2020-10-26,106114,174241,574,3565
2020-10-27,107258,175384,579,3587
2020-10-28,108871,176748,589,3601
2020-10-29,110736,178172,598,3620
2020-10-30,112969,179626,601,3625
2020-10-31,114780,181178,604,3638
2020-11-01,116540,182380,614,3640
2020-11-02,117737,183399,614,3643
2020-11-03,119435,184662,620,3649
2020-11-04,121614,185823,625,3662
2020-11-05,124399,187200,632,3671
2020-11-06,127329,188769,649,3677
2020-11-07,130376,190866,658,3697
