Date,PA confirmed,RI confirmed,PA deaths,RI deaths
2020-07-28,109384,17291,7146,993
2020-07-29,111078,17949,7176,1001
2020-07-30,111078,17949,7176,1001
2020-07-31,112048,17949,7189,981
2020-08-01,112936,17949,7204,989
2020-08-02,113590,17949,7209,989
2020-08-03,114155,17949,7209,989
2020-08-04,115009,17949,7232,989
2020-08-05,115714,18577,7244,994
2020-08-06,116521,18577,7282,994
2020-08-07,117279,18577,7297,994
2020-08-08,118092,18577,7313,994
2020-08-09,118852,18577,7314,994
2020-08-10,119453,18577,7317,994
2020-08-11,120281,18577,7352,1006
2020-08-12,121130,19264,7385,1013
2020-08-13,122121,19264,7409,1013
2020-08-14,122950,19264,7445,1013
2020-08-15,123800,19264,7465,1001
2020-08-16,124460,19264,7468,1001
2020-08-17,124844,19264,7468,1001
2020-08-18,125579,19264,7499,1001
2020-08-19,126149,19880,7523,1008
2020-08-20,126940,19880,7538,1008
2020-08-21,127633,19880,7558,1008
2020-08-22,128429,19880,7576,1008
2020-08-23,129048,19880,7578,1008
2020-08-24,129474,19880,7579,1008
2020-08-25,130035,19880,7605,1008
2020-08-26,130536,20580,7624,1020
2020-08-27,131156,20580,7635,1020
2020-08-28,131991,20580,7655,1020
2020-08-29,132834,20580,7671,1020
2020-08-30,133504,20580,7673,1020
2020-08-31,134025,20580,7673,1020
2020-09-01,134795,20580,7691,1020
2020-09-02,135611,21197,7712,1031
2020-09-03,136771,21197,7732,1031
2020-09-04,137662,21197,7742,1031
2020-09-05,138625,21197,7760,1031
2020-09-06,139316,21197,7760,1031
2020-09-07,139863,21197,7780,1031
2020-09-08,140359,21197,7791,1031
2020-09-09,141290,21802,7805,1042
2020-09-10,141877,21802,7820,1042
2020-09-11,142885,21802,7837,1042
2020-09-12,143805,21802,7837,1042
2020-09-13,143881,21802,7837,1042
2020-09-14,145063,21802,7869,1042
2020-09-15,146214,21802,7875,1042
2020-09-16,146990,22376,7903,1055
2020-09-17,147923,22376,7913,1055
2020-09-18,148683,22376,7934,1055
2020-09-19,149845,22376,7956,1055
2020-09-20,150578,22376,7981,1055
2020-09-21,150812,22376,8004,1055
2020-09-22,151646,22376,8023,1055
2020-09-23,152544,23059,8062,1078
2020-09-24,153397,23059,8079,1078
2020-09-25,154203,23059,8081,1078
2020-09-26,155232,23059,8103,1078
2020-09-27,156150,23059,8106,1078
2020-09-28,156826,23059,8107,1078
2020-09-29,157814,23059,8123,1078
2020-09-30,158967,23548,8142,1092
2020-10-01,160123,23548,8158,1092
2020-10-02,161284,23548,8179,1092
2020-10-03,161284,23548,8199,1092
2020-10-04,163535,23548,8216,1092
2020-10-05,164207,23548,8227,1092
2020-10-06,165243,23548,8244,1092
