Date,OK confirmed,OR confirmed,OK deaths,OR deaths
2020-08-04,39463,19699,566,333
2020-08-05,40564,19978,583,338
2020-08-06,41401,20224,593,339
2020-08-07,42255,20635,600,348
2020-08-08,43080,21010,603,355
2020-08-09,43566,21262,603,356
2020-08-10,43963,21488,605,357
2020-08-11,44728,21774,618,368
2020-08-12,45398,22021,627,375
2020-08-13,46103,22300,638,383
2020-08-14,46897,22613,644,385
2020-08-15,47798,23018,657,386
2020-08-16,48342,23018,661,385
2020-08-17,48711,23451,665,388
2020-08-18,49326,23676,682,397
2020-08-19,49923,23870,699,408
2020-08-20,50669,24165,709,412
2020-08-21,51746,24421,715,414
2020-08-22,52599,24710,725,417
2020-08-23,53165,24949,726,417
2020-08-24,53522,25155,730,420
2020-08-25,54172,25391,744,427
2020-08-26,54838,25571,763,433
2020-08-27,55550,25761,778,438
2020-08-28,56260,26054,786,447
2020-08-29,57353,26292,797,455
2020-08-30,58020,26054,799,447
2020-08-31,58733,26713,800,459
2020-09-01,59399,26946,809,465
2020-09-02,60118,27075,821,468
2020-09-03,61027,27336,835,470
2020-09-04,62040,27601,846,475
2020-09-05,63187,27857,850,480
2020-09-06,63607,27601,853,475
2020-09-07,64220,28190,853,477
2020-09-08,65053,28355,854,486
2020-09-09,65929,28471,863,494
2020-09-10,66700,28654,876,497
2020-09-11,67642,28865,888,499
2020-09-12,68659,29147,899,505
2020-09-13,69354,29337,905,509
2020-09-14,70223,29484,905,511
2020-09-15,71314,29662,912,519
2020-09-16,72284,29850,924,521
2020-09-17,73318,30060,930,521
2020-09-18,74567,30342,939,521
2020-09-19,75804,30599,943,524
2020-09-20,76807,30801,946,522
2020-09-21,77908,30995,948,529
2020-09-22,79072,31313,962,532
2020-09-23,80161,31503,970,538
2020-09-24,81244,31865,981,539
2020-09-25,82520,32314,993,542
2020-09-26,83510,32581,1004,543
2020-09-27,84333,32820,1006,546
2020-09-28,85194,32994,1007,547
2020-09-29,86219,33291,1018,555
2020-09-30,87199,33509,1031,559
2020-10-01,88365,33860,1035,560
2020-10-02,89559,34163,1044,563
2020-10-03,90748,34507,1051,563
2020-10-04,91982,34770,1055,564
2020-10-05,91982,35049,1055,572
2020-10-06,93346,35340,1066,581
2020-10-07,94352,35635,1075,583
2020-10-08,95564,36116,1085,594
2020-10-09,97088,36526,1091,597
2020-10-10,98621,36526,1095,597
2020-10-11,99387,37255,1098,599
2020-10-12,100184,37467,1104,599
2020-10-13,101493,37780,1119,605
2020-10-14,102615,38160,1132,608
2020-10-15,103836,38525,1143,611
2020-10-16,105308,38935,1154,617
2020-10-17,106503,39316,1168,620
2020-10-18,107299,39532,1171,617
2020-10-19,108073,39794,1173,628
2020-10-20,109548,40136,1191,633
2020-10-21,110856,40443,1210,635
2020-10-22,112483,40810,1221,646
2020-10-23,113856,41348,1234,649
2020-10-24,115685,41729,1245,653
2020-10-25,116736,42101,1249,653
2020-10-26,117392,42436,1251,655
2020-10-27,118409,42807,1273,664
2020-10-28,119152,43228,1286,671
2020-10-29,120193,43793,1306,673
2020-10-30,121494,44387,1326,675
2020-10-31,122762,44921,1337,688
2020-11-01,124110,45429,1345,691
2020-11-02,125193,45977,1354,692
2020-11-03,126525,46460,1375,701
2020-11-04,127772,47049,1392,705
2020-11-05,129873,47839,1413,710
2020-11-06,131751,48608,1429,716
2020-11-07,131751,49587,1429,729
2020-11-08,136258,50448,1438,730
2020-11-09,138449,51155,1444,734
2020-11-10,140155,51909,1451,737
2020-11-11,142334,52770,1470,742
2020-11-12,144689,53879,1481,746
2020-11-13,147358,54937,1493,753
2020-11-14,150205,56018,1516,759
2020-11-15,154128,56880,1528,761
2020-11-16,156857,57646,1538,765
2020-11-17,158408,58570,1544,778
2020-11-18,161425,59669,1570,788
2020-11-19,164352,60873,1588,808
2020-11-20,167261,62175,1603,812
2020-11-21,170924,63668,1603,819
2020-11-22,174330,65170,1634,820
2020-11-23,177874,66333,1649,826
2020-11-24,180610,67333,1664,847
2020-11-25,184557,68503,1693,867
2020-11-26,184342,68503,1680,867
2020-11-27,187565,70832,1704,885
2020-11-28,193814,72506,1717,896
2020-11-29,195545,74119,1736,905
2020-11-30,197743,75431,1743,912
2020-12-01,199478,76654,1758,936
2020-12-02,202341,78160,1812,953
2020-12-03,204048,79293,1836,973
2020-12-04,208875,81437,1860,1003
2020-12-05,213244,83240,1874,1027
2020-12-06,216483,84495,1896,1033
2020-12-07,218382,85788,1911,1033
2020-12-08,220686,87129,1922,1069
2020-12-09,222992,88287,1945,1110
2020-12-10,225453,89832,1980,1123
2020-12-11,229353,91420,2007,1137
2020-12-12,233336,91420,2042,1137
2020-12-13,237663,91420,2064,1137
2020-12-14,239765,91420,2072,1137
2020-12-15,241991,96092,2086,1213
2020-12-16,245229,97622,2128,1262
2020-12-17,248204,98984,2144,1283
2020-12-18,251760,100308,2161,1302
2020-12-19,255868,100308,2189,1302
2020-12-20,260836,100307,2212,1302
2020-12-21,263432,103754,2218,1347
2020-12-22,265620,105072,2240,1382
2020-12-23,269276,105970,2283,1403
2020-12-24,272553,106821,2328,1415
2020-12-25,272553,106821,2328,1415
2020-12-26,276508,106821,2357,1415
2020-12-27,279139,106821,2370,1415
2020-12-28,282587,110545,2383,1433
2020-12-29,283781,111227,2405,1449
2020-12-30,287030,112260,2453,1468
2020-12-31,290936,113909,2489,1477
2021-01-01,290936,113909,2489,1477
2021-01-02,296055,113909,2527,1477
2021-01-03,304072,113909,2547,1477
2021-01-04,306771,118453,2552,1506
2021-01-05,308268,119488,2571,1550
2021-01-06,311573,120223,2633,1558
2021-01-07,315354,121085,2672,1568
2021-01-08,320586,122848,2703,1575
2021-01-09,324875,122848,2738,1575
2021-01-10,331362,122848,2761,1575
2021-01-11,335247,126608,2775,1614
2021-01-12,337456,127781,2804,1667
2021-01-13,341364,129110,2848,1708
2021-01-14,344506,130247,2882,1737
2021-01-15,348044,131259,2925,1758
2021-01-16,351665,131259,2952,1758
2021-01-17,354976,131259,2987,1758
2021-01-18,356811,131259,2994,1758
2021-01-19,358372,134468,3037,1808
2021-01-20,360357,135142,3085,1832
2021-01-21,363046,135974,3140,1843
2021-01-22,365992,136840,3187,1865
2021-01-23,370149,136840,3231,1865
2021-01-24,373089,136840,3279,1865
2021-01-25,374852,138588,3293,1882
2021-01-26,376424,139356,3323,1904
2021-01-27,379110,140064,3388,1924
2021-01-28,381430,140784,3423,1930
2021-01-29,384217,141731,3471,1938
2021-01-30,386590,141731,3504,1938
2021-01-31,389472,141731,3547,1938
2021-02-01,390868,143375,3564,1958
2021-02-02,392164,143980,3602,1981
2021-02-03,394283,144607,3654,1991
2021-02-04,397065,145322,3681,1998
2021-02-05,399727,146140,3710,2002
2021-02-06,401780,146140,3761,2002
2021-02-07,403954,146140,3813,2002
2021-02-08,404994,147421,3817,2024
2021-02-09,406064,147934,3870,2031
2021-02-10,407726,148477,3900,2044
2021-02-11,409402,149084,3948,2056
2021-02-12,410819,149579,3959,2094
2021-02-13,412279,149579,3994,2094
2021-02-14,413544,149579,4024,2094
2021-02-15,414276,149579,4041,2094
2021-02-16,414781,150877,4061,2138
2021-02-17,415859,151259,4089,2143
2021-02-18,416477,151715,4112,2149
2021-02-19,417348,152192,4132,2149
2021-02-20,418325,152192,4155,2149
2021-02-21,419354,152192,4181,2149
2021-02-22,419853,153136,4203,2155
2021-02-23,420213,153647,4227,2162
2021-02-24,421015,154065,4264,2194
2021-02-25,422157,154565,4302,2204
2021-02-26,423025,154885,4320,2206
2021-02-27,423808,154885,4379,2206
2021-02-28,424510,154885,4428,2206
2021-03-01,424890,155794,4478,2212
2021-03-02,425023,156043,4534,2225
2021-03-03,425749,156293,4535,2252
2021-03-04,426643,156675,4535,2284
2021-03-05,427560,156886,4535,2293
2021-03-06,428537,156886,4535,2293
2021-03-07,429003,156886,4535,2293
2021-03-08,429169,156886,4535,2293
2021-03-09,429437,158009,4701,2303
2021-03-10,430252,158293,4702,2305
2021-03-11,430946,158646,4702,2316
2021-03-12,431370,159039,4702,2319
2021-03-13,431995,159039,4702,2319
2021-03-14,432487,159039,4702,2319
2021-03-15,432796,159790,4702,2324
2021-03-16,432796,160052,4788,2346
2021-03-17,432796,160288,4788,2349
2021-03-18,432796,160625,4788,2353
2021-03-19,432796,160997,4788,2357
2021-03-20,432796,160997,4788,2357
2021-03-21,432796,160997,4788,2357
2021-03-22,432796,161708,4788,2365
2021-03-23,435457,162018,4850,2367
2021-03-24,435457,162384,4850,2368
2021-03-25,435457,162806,4850,2370
2021-03-26,435457,163295,4850,2373
2021-03-27,436914,163295,4850,2373
2021-03-28,436914,163295,4850,2373
2021-03-29,436914,164165,4850,2375
2021-03-30,436914,164571,4850,2381
2021-03-31,437859,165013,4953,2383
2021-04-01,437859,165525,4953,2385
2021-04-02,437859,166014,4953,2385
2021-04-03,437859,166014,4953,2385
