Date,NY confirmed,OH confirmed,NY deaths,OH deaths
2020-06-30,393496,51790,31777,2863
2020-07-01,394248,52866,31791,2876
2020-07-02,395021,52866,31820,2876
2020-07-03,395939,55258,31837,2903
2020-07-04,396663,56183,31856,2907
2020-07-05,397200,57151,31896,2911
2020-07-06,398064,57957,31911,2927
2020-07-07,398313,58905,31934,2970
2020-07-08,398383,60182,31945,2991
2020-07-09,399575,61332,31980,3006
2020-07-10,400358,62857,32004,3032
2020-07-11,401098,64215,32009,3036
2020-07-12,401775,65593,32029,3058
2020-07-13,402332,66854,32076,3064
2020-07-14,403244,67996,32092,3069
2020-07-15,404075,69312,32116,3075
2020-07-16,404844,70602,32133,3103
2020-07-17,405620,72281,32147,3112
2020-07-18,406374,73822,32166,3132
2020-07-19,406876,74933,32187,3174
2020-07-20,407395,76169,32204,3189
2020-07-21,408250,77216,32218,3219
2020-07-22,408945,78743,32229,3235
2020-07-23,409767,80187,32271,3256
2020-07-24,410509,81747,32275,3297
2020-07-25,411269,83185,32295,3297
2020-07-26,411805,84074,32304,3307
2020-07-27,412413,85178,32323,3344
2020-07-28,412947,86498,32334,3382
2020-07-29,413662,87894,32343,3422
2020-07-30,414439,89627,32363,3442
2020-07-31,415083,91160,32373,3489
2020-08-01,415836,92088,32390,3515
2020-08-02,416367,93032,32404,3529
2020-08-03,417112,93964,32415,3539
2020-08-04,417658,95107,32423,3570
2020-08-05,418292,96306,32431,3596
2020-08-06,418997,97472,32434,3618
2020-08-07,419711,98676,32442,3652
2020-08-08,420414,99970,32450,3668
2020-08-09,420929,100849,32459,3669
2020-08-10,421405,101732,32466,3673
2020-08-11,422072,102827,32477,3708
2020-08-12,422772,104249,32489,3734
2020-08-13,423509,105427,32504,3755
2020-08-14,424236,106558,32513,3784
2020-08-15,424970,107675,32517,3824
2020-08-16,425577,108288,32529,3826
2020-08-17,425985,109063,32541,3832
2020-08-18,426640,109924,32553,3871
2020-08-19,427271,110882,32557,3907
2020-08-20,427872,112004,32557,3929
2020-08-21,428581,113047,32561,3955
2020-08-22,429234,114166,32570,3975
2020-08-23,429806,114803,32588,3978
2020-08-24,430214,115652,32595,3986
2020-08-25,430843,116496,32601,3996
2020-08-26,431409,117585,32605,4044
2020-08-27,432200,118829,32613,4076
2020-08-28,432836,120125,32620,4105
2020-08-29,433471,121341,32628,4261
2020-08-30,434169,122263,32640,4127
2020-08-31,434825,123158,32647,4138
2020-09-01,435579,124611,32654,4165
2020-09-02,436287,125768,32665,4176
2020-09-03,437176,127113,32673,4226
2020-09-04,438040,128445,32679,4248
2020-09-05,438841,129786,32685,4256
2020-09-06,439570,130559,32691,4259
2020-09-07,440090,131337,32704,4276
2020-09-08,440647,131993,32718,4298
2020-09-09,441223,132966,32719,4324
2020-09-10,441980,134087,32724,4354
2020-09-11,442860,135327,32725,4403
2020-09-12,443709,136569,32731,4411
2020-09-13,444434,137406,32735,4415
2020-09-14,445017,138485,32745,4419
2020-09-15,445783,139486,32745,4506
2020-09-16,446435,140519,32768,4555
2020-09-17,447331,141586,32775,4580
2020-09-18,448121,142597,32782,4608
2020-09-19,449107,143548,32785,4612
2020-09-20,449969,144310,32792,4615
2020-09-21,450542,145166,32797,4623
2020-09-22,451296,145851,32796,4635
2020-09-23,451961,146754,32797,4687
2020-09-24,452916,147745,32802,4715
2020-09-25,453824,148895,32814,4734
2020-09-26,454829,150010,32819,4740
2020-09-27,455695,150810,32828,4741
2020-09-28,456529,151803,32844,4746
2020-09-29,457718,152908,32850,4783
2020-09-30,458718,153988,32864,4804
2020-10-01,460100,155314,32877,4815
2020-10-02,461698,156810,32896,4905
2020-10-03,463429,157967,32899,4925
2020-10-04,464651,158908,32920,4925
2020-10-05,465584,159965,32934,4931
2020-10-06,466977,161300,32943,4947
2020-10-07,468337,162724,32957,4970
2020-10-08,470173,164263,32966,4983
2020-10-09,471765,166103,32973,4994
2020-10-10,473212,167459,32982,4997
2020-10-11,474355,168750,32986,4999
2020-10-12,475384,170180,33003,5005
2020-10-13,476777,171627,33012,5017
2020-10-14,478009,173666,33023,5033
2020-10-15,479469,175844,33042,5038
2020-10-16,481176,177992,33051,5054
2020-10-17,482960,180226,33067,5067
2020-10-18,484350,181788,33080,5067
2020-10-19,485348,183625,33099,5075
2020-10-20,486549,185640,33107,5083
2020-10-21,488575,188006,33115,5149
2020-10-22,490203,190431,33132,5161
2020-10-23,491840,192949,33148,5184
2020-10-24,493901,195807,33148,5206
2020-10-25,495533,198116,33170,5206
2020-10-26,496724,200232,33184,5217
2020-10-27,498715,202741,33203,5239
2020-10-28,500746,205348,33218,5256
2020-10-29,503245,208938,33238,5275
2020-10-30,505500,212783,33251,5291
2020-10-31,507612,215698,33264,5301
2020-11-01,509804,219001,33284,5303
2020-11-02,511437,221910,33297,5340
2020-11-03,513758,226139,33308,5373
2020-11-04,515884,230210,33333,5428
2020-11-05,518881,235171,33357,5461
2020-11-06,522090,240179,33378,5494
2020-11-07,525677,245728,33398,5506
2020-11-08,529105,250269,33412,5517
2020-11-09,532249,254975,33453,5524
2020-11-10,536214,261483,33486,5547
2020-11-11,541034,267357,33511,5623
2020-11-12,545831,274458,33537,5657
2020-11-13,551232,282529,33565,5700
2020-11-14,556620,290244,33590,5714
2020-11-15,560269,298097,33621,5722
2020-11-16,563759,305365,33654,5742
